Sentence,Sentiment
"Выращивание рекордсменов – дело частное, штучное.",neutral
"После закрытого заседания сегодня состоится пленарное, на котором предполагается рассмотреть проект постановления о дополнительных мерах по укреплению обороноспособности Украины.",neutral
У меня там погибло два друга.,negative
По замыслу разработчиков детальный порядок такого взаимодействия должен устанавливаться правительством.,neutral
Об этом со ссылкой на осведомленные источники сообщает в четверг «Украинская правда».,neutral
"Ты сиди ровно, ни о чём не беспокойся, в один прекрасный день ты накатаешь какую-нибудь ерунду или столкнешься с именитым режиссёром в дверях ближайшего супермаркета, и пойдешь, пойдешь в гору, оставляя далеко внизу идиотов, которые не догадались оказаться в нужное время в нужном месте.",mixed
"Делегация США была подвергнута критике, так как она была не в состоянии прокомментировать вопросы, касающиеся предполагаемых секретных тюрем.",negative
Эта сделка позволит нам получать дополнительные средства для развития своих сервисов.,positive
"Напротив, республиканцы, получив палату представителей, теперь должны вести себя так, чтобы не повторилась ситуация 1994—1996 годов, когда их тогдашняя победа обернулась поражением, ибо силы были растрачены впустую.",mixed
"Мы, выступая от себя, обратились к нашему учителю, сделали шаг ему навстречу"",",positive
"Всего лишь частица идеи, но для вас она новая, мощная.",positive
Су Тун знаком российским читателям по роману «Последний император».,neutral
"Согласно многочисленным исследованиям, цитируемость научных статей, опубликованных в открытом доступе, в среднем в несколько раз выше, чем у статей в платном доступе.",neutral
"Только вот в свои 86 сам Евгений Георгиевич Одиноков замечает, что, может, и завёл бы себе корову — прям как в детстве! — только вот возраст уже не позволяет.",mixed
Но самый перл - сын Атоса.,neutral
Или выезжать за 5 — 7 часов.,neutral
сказал корреспонденту Русской службы «Голоса Америки» лидер КИУ Александр Черненко.,neutral
"Они меня как бы прекрасно понимают, но они делают свое дело, потому что зарабатывают деньги, когда есть рейтинг, есть скандал.",mixed
При этом никакой богобоязненности и лишних условностей - это же просто праздник!,positive
"Напомним, первая бета-версия Firefox 4 была опубликована в июле 2010 года.",neutral
До этой даты Судан будет формально оставаться единым государством.,neutral
Лишь бы это не привело к печальным итогам.,negative
"Хотелось бы, конечно, и самому посмотреть сочинские объекты…",neutral
"Но я маме не говорила, боялась, что ей плохо с сердцем станет,",negative
"Строительство забора длинной 1125 км обойдётся в 1,2 миллиардов долларов.",neutral
"Дело в том, что всю весну почти не выпадало осадков, земля пересохла и пищи птицам стало не хватать.",negative
Завод Дерипаски в Пикалёво оказался на грани остановки,negative
"Последний из череды подобных эпизодов - неудачный запуск ракеты-носителя «Протон-М», которая должна была 7 августа вывести на орбиту спутники связи «Экспресс-МД2» и Telkom-3.",negative
"Правительство помогает регионам, а они жалуются",mixed
"вы бы вопрос изучили прежде, чем так комментировать, а то глупо выглядит.",negative
Он должен был прибыть в Стокгольм 17 марта на двусторонний саммит.,neutral
"Результат: остаётся вопрос, что же хотел сказать Михалков?",neutral
"Как бы хотелось вас всех обнять, знакомых и незнакомых, далёких и близких!",positive
"Гарантии стабильности сегодня — наиболее важное условие для обеспечения интересов страны, — цитирует NEWSru.com Берлускони.",neutral
Уголовное дело было возбуждено по заявлению заместителя генерального директора УГМК Петра Ямова на имя руководителя антикоррупционного подразделения МВД генерала Дениса Сугробова.,neutral
